row,title,cleaned_title,url,domain,doi_enriched,lookup_status,doi_confidence,best_candidate_doi,best_candidate_provider,best_candidate_similarity,best_candidate_title,best_candidate_url,errors
1,An experimental investigation on thermal damage and failure mechanical behavior of granite after exposure to different high temperature treatments - ScienceDirect,An experimental investigation on thermal damage and failure mechanical behavior of granite after exposure to different high temperature treatments,https://www.sciencedirect.com/science/article/pii/S0375650516301110?via%3Dihub,www.sciencedirect.com,10.1016/j.geothermics.2016.09.008,found,high,10.1016/j.geothermics.2016.09.008,crossref_pii,1.000,An experimental investigation on thermal damage and failure mechanical behavior of granite after exposure to different high temperature treatments,https://doi.org/10.1016/j.geothermics.2016.09.008,
2,Experimental investigation on triaxial mechanical and permeability behavior of sandstone after exposure to different high temperature treatments - ScienceDirect,Experimental investigation on triaxial mechanical and permeability behavior of sandstone after exposure to different high temperature treatments,https://www.sciencedirect.com/science/article/pii/S0375650517300068?via%3Dihub,www.sciencedirect.com,10.1016/j.geothermics.2017.04.009,found,high,10.1016/j.geothermics.2017.04.009,crossref_pii,1.000,Experimental investigation on triaxial mechanical and permeability behavior of sandstone after exposure to different high temperature treatments,https://doi.org/10.1016/j.geothermics.2017.04.009,
4,Peridynamic simulation on fracture mechanical behavior of granite containing a single fissure after thermal cycling treatment - ScienceDirect,Peridynamic simulation on fracture mechanical behavior of granite containing a single fissure after thermal cycling treatment,https://www.sciencedirect.com/science/article/pii/S0266352X19304781?via%3Dihub,www.sciencedirect.com,10.1016/j.compgeo.2019.103414,found,high,10.1016/j.compgeo.2019.103414,crossref_pii,1.000,Peridynamic simulation on fracture mechanical behavior of granite containing a single fissure after thermal cycling treatment,https://doi.org/10.1016/j.compgeo.2019.103414,
5,Peridynamic simulation of fracture mechanical behaviour of granite specimen under real-time temperature and post-temperature treatments - ScienceDirect,Peridynamic simulation of fracture mechanical behaviour of granite specimen under real-time temperature and post-temperature treatments,https://www.sciencedirect.com/science/article/pii/S1365160920309394?via%3Dihub,www.sciencedirect.com,10.1016/j.ijrmms.2020.104573,found,high,10.1016/j.ijrmms.2020.104573,crossref_pii,1.000,Peridynamic simulation of fracture mechanical behaviour of granite specimen under real-time temperature and post-temperature treatments,https://doi.org/10.1016/j.ijrmms.2020.104573,
6,Numerical simulation of permeability evolution in granite after thermal treatment - ScienceDirect,Numerical simulation of permeability evolution in granite after thermal treatment,https://www.sciencedirect.com/science/article/pii/S0266352X20302688?via%3Dihub,www.sciencedirect.com,10.1016/j.compgeo.2020.103705,found,high,10.1016/j.compgeo.2020.103705,crossref_pii,1.000,Numerical simulation of permeability evolution in granite after thermal treatment,https://doi.org/10.1016/j.compgeo.2020.103705,
12,Mechanical test of granite with multiple water-thermal cycles-All Databases (clarivate.cn),Mechanical test of granite with multiple water-thermal cycles,https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000611981200001,webofscience.clarivate.cn,10.1186/s40517-021-00186-z,found,high,10.1186/s40517-021-00186-z,crossref,1.000,Mechanical test of granite with multiple water–thermal cycles,https://doi.org/10.1186/s40517-021-00186-z,
17,Thermal properties of sandstone after treatment at high temperature - ScienceDirect,Thermal properties of sandstone after treatment at high temperature,https://www.sciencedirect.com/science/article/pii/S1365160916300338?via%3Dihub,www.sciencedirect.com,10.1016/j.ijrmms.2016.03.006,found,high,10.1016/j.ijrmms.2016.03.006,crossref,1.000,Thermal properties of sandstone after treatment at high temperature,https://doi.org/10.1016/j.ijrmms.2016.03.006,
18,The effect of rapid cooling on the thermal diffusivity of granite - ScienceDirect,The effect of rapid cooling on the thermal diffusivity of granite,https://www.sciencedirect.com/science/article/pii/S0926985118307869,www.sciencedirect.com,10.1016/j.jappgeo.2019.06.002,found,high,10.1016/j.jappgeo.2019.06.002,crossref_pii,1.000,The effect of rapid cooling on the thermal diffusivity of granite,https://doi.org/10.1016/j.jappgeo.2019.06.002,
19,Macroscopic and microscopic experimental research on granite properties after high-temperature and water-cooling cycles - ScienceDirect,Macroscopic and microscopic experimental research on granite properties after high-temperature and water-cooling cycles,https://www.sciencedirect.com/science/article/pii/S0375650521000390,www.sciencedirect.com,10.1016/j.geothermics.2021.102079,found,high,10.1016/j.geothermics.2021.102079,crossref_pii,1.000,Macroscopic and microscopic experimental research on granite properties after high-temperature and water-cooling cycles,https://doi.org/10.1016/j.geothermics.2021.102079,
21,"Influence of different thermal cycling treatments on the physical, mechanical and transport properties of granite - ScienceDirect","Influence of different thermal cycling treatments on the physical, mechanical and transport properties of granite",https://www.sciencedirect.com/science/article/pii/S0375650518300907?via%3Dihub,www.sciencedirect.com,10.1016/j.geothermics.2018.12.008,found,high,10.1016/j.geothermics.2018.12.008,crossref,1.000,"Influence of different thermal cycling treatments on the physical, mechanical and transport properties of granite",https://doi.org/10.1016/j.geothermics.2018.12.008,
