row,title,url,doi,domain,publisher_hint,access_group,item_kind_hint,tags,evaluation,inspiration,author_info,features,conclusions,useful_figures_data,notes
2,Damage Analysis of High-Temperature Rocks Subjected to LN2 Thermal Shock | Rock Mechanics and Rock Engineering (springer.com),https://link.springer.com/article/10.1007/s00603-018-1711-y,10.1007/s00603-018-1711-y,link.springer.com,Springer,auto_pdf_candidate,article_candidate,,,,液氮热冲击下高温岩石的损伤分析,砂岩、花岗岩、页岩液氮冲击，力学强度、渗透性变化,液氮冲击三种岩石的力学强度响应、破坏形式、渗透性变化。讨论了膨胀系数不同和原生孔洞、矿物大小的影响,,"作者信息: 液氮热冲击下高温岩石的损伤分析
特点: 砂岩、花岗岩、页岩液氮冲击，力学强度、渗透性变化
结论: 液氮冲击三种岩石的力学强度响应、破坏形式、渗透性变化。讨论了膨胀系数不同和原生孔洞、矿物大小的影响"
3,Variations of Physical and Mechanical Properties of Heated Granite After Rapid Cooling with Liquid Nitrogen | Rock Mechanics and Rock Engineering (springer.com),https://link.springer.com/article/10.1007/s00603-018-1727-3,10.1007/s00603-018-1727-3,link.springer.com,Springer,auto_pdf_candidate,article_candidate,,,,液氮快速冷却后加热花岗岩物理机械性能的变化,空冷、水冷、液氮花岗岩热冲击，波速、UCS，渗透性,200-400变化不大，400-600看到明显变化,,"作者信息: 液氮快速冷却后加热花岗岩物理机械性能的变化
特点: 空冷、水冷、液氮花岗岩热冲击，波速、UCS，渗透性
结论: 200-400变化不大，400-600看到明显变化"
4,,,,,unknown,title_or_note_only,article_candidate,,“更快的冷却速度在岩石的外部区域产生更高的拉应力，这有助于加剧岩石的劣化”。,,,页岩液氮热冲击，波速、UCS，扫描电镜,,,"评价: “更快的冷却速度在岩石的外部区域产生更高的拉应力，这有助于加剧岩石的劣化”。
特点: 页岩液氮热冲击，波速、UCS，扫描电镜"
5,Study on Damage Characteristics of Hot Dry Rock by Liquid Nitrogen Cyclic Cold Shocks Based on Ultrasonic Testing | Energy & Fuels (acs.org),https://pubs.acs.org/doi/full/10.1021/acs.energyfuels.3c03229,10.1021/acs.energyfuels.3c03229,pubs.acs.org,ACS,manual_or_institution_required,article_candidate,,,,基于超声检测的液氮循环冷冲击干热岩石损伤特性研究,花岗岩液氮热冲击，核磁，超声波波速测试，孔隙率变化,高温、热冲击循环次数和孔隙率的关系，用波速表征损伤,,"作者信息: 基于超声检测的液氮循环冷冲击干热岩石损伤特性研究
特点: 花岗岩液氮热冲击，核磁，超声波波速测试，孔隙率变化
结论: 高温、热冲击循环次数和孔隙率的关系，用波速表征损伤"
6,,,,,unknown,title_or_note_only,article_candidate,,,,,花岗岩350℃热冲击,显微成像的特征，计算了热膨胀系数等等内容,,"特点: 花岗岩350℃热冲击
结论: 显微成像的特征，计算了热膨胀系数等等内容"
7,Study on Fracture Surface Damage and Fluid Flow Characteristics of Hot Dry Rock with Different Failure Modes under Repeated Thermal Shock | Rock Mechanics and Rock Engineering (springer.com),https://link.springer.com/article/10.1007/s00603-023-03526-6?utm_source=xmol&utm_medium=affiliate&utm_content=meta&utm_campaign=DDCN_1_GL01_metadata,10.1007/s00603-023-03526-6,link.springer.com,Springer,auto_pdf_candidate,article_candidate,,,,重复热冲击下不同破坏模式干热岩石裂隙表面损伤及流体流动特性研究,花岗岩劈裂后 热冲击，形貌粗糙度，粗糙度分形计算,采用分形维数判断粗糙度,,"作者信息: 重复热冲击下不同破坏模式干热岩石裂隙表面损伤及流体流动特性研究
特点: 花岗岩劈裂后 热冲击，形貌粗糙度，粗糙度分形计算
结论: 采用分形维数判断粗糙度"
8,,,,,unknown,title_or_note_only,article_candidate,,,,低温液氮冷却和热冲击对伊格尔福特页岩岩石物理和形态特征的影响,常温致密页岩、液氮压裂、粗糙度、硬度（压痕）、电镜、驱油,,,"作者信息: 低温液氮冷却和热冲击对伊格尔福特页岩岩石物理和形态特征的影响
特点: 常温致密页岩、液氮压裂、粗糙度、硬度（压痕）、电镜、驱油"
9,,,,,unknown,title_or_note_only,article_candidate,,花岗岩中心钻孔，研究钻孔周围的热冲击破裂,,不同冷却冲击下高温花岗岩的热裂特性,花岗岩中心钻孔，20 0 -20盐水热冲击孔周围破裂情况,,,"评价: 花岗岩中心钻孔，研究钻孔周围的热冲击破裂
作者信息: 不同冷却冲击下高温花岗岩的热裂特性
特点: 花岗岩中心钻孔，20 0 -20盐水热冲击孔周围破裂情况"
10,高温花岗岩冷却冲击后热劣化：多重识别及损伤机制 |工程地质与环境通报,https://link.springer.com/article/10.1007/s10064-020-01888-7?utm_source=xmol&utm_medium=affiliate&utm_content=meta&utm_campaign=DDCN_1_GL01_metadata,10.1007/s10064-020-01888-7,link.springer.com,Springer,auto_pdf_candidate,article_candidate,,,,氯化钙溶液冷却,花岗岩20 0 -20氯化钙溶液中热冲击冷却，波速、强度、损伤研究,,,"作者信息: 氯化钙溶液冷却
特点: 花岗岩20 0 -20氯化钙溶液中热冲击冷却，波速、强度、损伤研究"
11,,,,,unknown,title_or_note_only,article_candidate,,,,快速冷却引起的热冲击对砂岩力学性能的影响,砂岩热冲击的力学相应，波速、SEM，破坏形式，声发射,,,"作者信息: 快速冷却引起的热冲击对砂岩力学性能的影响
特点: 砂岩热冲击的力学相应，波速、SEM，破坏形式，声发射"
