row,title,url,doi,domain,publisher_hint,access_group,item_kind_hint,tags,evaluation,inspiration,author_info,features,conclusions,useful_figures_data,notes
2,Damage Analysis of High-Temperature Rocks Subjected to LN2 Thermal Shock | Rock Mechanics and Rock Engineering (springer.com),https://link.springer.com/article/10.1007/s00603-018-1711-y,10.1007/s00603-018-1711-y,link.springer.com,Springer,auto_pdf_candidate,article_candidate,,,,液氮热冲击下高温岩石的损伤分析,砂岩、花岗岩、页岩液氮冲击，力学强度、渗透性变化,液氮冲击三种岩石的力学强度响应、破坏形式、渗透性变化。讨论了膨胀系数不同和原生孔洞、矿物大小的影响,,"作者信息: 液氮热冲击下高温岩石的损伤分析
特点: 砂岩、花岗岩、页岩液氮冲击，力学强度、渗透性变化
结论: 液氮冲击三种岩石的力学强度响应、破坏形式、渗透性变化。讨论了膨胀系数不同和原生孔洞、矿物大小的影响"
3,Variations of Physical and Mechanical Properties of Heated Granite After Rapid Cooling with Liquid Nitrogen | Rock Mechanics and Rock Engineering (springer.com),https://link.springer.com/article/10.1007/s00603-018-1727-3,10.1007/s00603-018-1727-3,link.springer.com,Springer,auto_pdf_candidate,article_candidate,,,,液氮快速冷却后加热花岗岩物理机械性能的变化,空冷、水冷、液氮花岗岩热冲击，波速、UCS，渗透性,200-400变化不大，400-600看到明显变化,,"作者信息: 液氮快速冷却后加热花岗岩物理机械性能的变化
特点: 空冷、水冷、液氮花岗岩热冲击，波速、UCS，渗透性
结论: 200-400变化不大，400-600看到明显变化"
7,Study on Fracture Surface Damage and Fluid Flow Characteristics of Hot Dry Rock with Different Failure Modes under Repeated Thermal Shock | Rock Mechanics and Rock Engineering (springer.com),https://link.springer.com/article/10.1007/s00603-023-03526-6?utm_source=xmol&utm_medium=affiliate&utm_content=meta&utm_campaign=DDCN_1_GL01_metadata,10.1007/s00603-023-03526-6,link.springer.com,Springer,auto_pdf_candidate,article_candidate,,,,重复热冲击下不同破坏模式干热岩石裂隙表面损伤及流体流动特性研究,花岗岩劈裂后 热冲击，形貌粗糙度，粗糙度分形计算,采用分形维数判断粗糙度,,"作者信息: 重复热冲击下不同破坏模式干热岩石裂隙表面损伤及流体流动特性研究
特点: 花岗岩劈裂后 热冲击，形貌粗糙度，粗糙度分形计算
结论: 采用分形维数判断粗糙度"
10,高温花岗岩冷却冲击后热劣化：多重识别及损伤机制 |工程地质与环境通报,https://link.springer.com/article/10.1007/s10064-020-01888-7?utm_source=xmol&utm_medium=affiliate&utm_content=meta&utm_campaign=DDCN_1_GL01_metadata,10.1007/s10064-020-01888-7,link.springer.com,Springer,auto_pdf_candidate,article_candidate,,,,氯化钙溶液冷却,花岗岩20 0 -20氯化钙溶液中热冲击冷却，波速、强度、损伤研究,,,"作者信息: 氯化钙溶液冷却
特点: 花岗岩20 0 -20氯化钙溶液中热冲击冷却，波速、强度、损伤研究"
16,高温花岗岩经不同冷却冲击的热裂纹特性 |国际骨折杂志 (springer.com),https://link.springer.com/article/10.1007/s10704-020-00470-2,10.1007/s10704-020-00470-2,link.springer.com,Springer,auto_pdf_candidate,article_candidate,高温花岗岩在-20 0 20℃热冲击,,,高温花岗岩遭受不同冷却冲击的热裂纹特性,,,,"标记: 高温花岗岩在-20 0 20℃热冲击
作者信息: 高温花岗岩遭受不同冷却冲击的热裂纹特性"
19,Evaluation of the effects of three different cooling methods on the dynamic mechanical properties of thermal-treated sandstone | Bulletin of Engineering Geology and the Environment (springer.com),https://link.springer.com/article/10.1007/s10064-022-02630-1,10.1007/s10064-022-02630-1,link.springer.com,Springer,auto_pdf_candidate,article_candidate,参考,热冲击拉应力的公式。损伤严重程度依次是：水冷、液氮、空冷。他解释为水的软化作用，而没有解释成液氮的莱顿弗罗斯特效应,,3种不同冷却方式对热处理砂岩动态力学性能的影响评价,霍普金森杆，砂岩，空冷、水、液氮热冲击，,400℃以上砂岩损伤显著恶化。提出了热冲击损伤的三个因素：1.不同膨胀系数 2.石英相变加剧不同的膨胀 3. 温度梯度导致的破裂,热冲击拉应力的公式,"标记: 参考
评价: 热冲击拉应力的公式。损伤严重程度依次是：水冷、液氮、空冷。他解释为水的软化作用，而没有解释成液氮的莱顿弗罗斯特效应
作者信息: 3种不同冷却方式对热处理砂岩动态力学性能的影响评价
特点: 霍普金森杆，砂岩，空冷、水、液氮热冲击，
结论: 400℃以上砂岩损伤显著恶化。提出了热冲击损伤的三个因素：1.不同膨胀系数 2.石英相变加剧不同的膨胀 3. 温度梯度导致的破裂
可供参考的图和数据: 热冲击拉应力的公式"
22,Experimental Investigation on Physical and Mechanical Properties of Granite Subjected to Cyclic Heating and Liquid Nitrogen Cooling | Rock Mechanics and Rock Engineering (springer.com),https://link.springer.com/article/10.1007/s00603-021-02390-6,10.1007/s00603-021-02390-6,link.springer.com,Springer,auto_pdf_candidate,article_candidate,,只有液氮和空冷,,循环加热和液氮冷却花岗岩物理力学性能试验研究,花岗岩 循环液氮热冲击 和空冷对比，力学强度、波速、孔隙率、显微薄片下的破裂分析，用损伤变量表征破坏的强度（还是直接用热冲击处理以后的值来计算的）,,,"评价: 只有液氮和空冷
作者信息: 循环加热和液氮冷却花岗岩物理力学性能试验研究
特点: 花岗岩 循环液氮热冲击 和空冷对比，力学强度、波速、孔隙率、显微薄片下的破裂分析，用损伤变量表征破坏的强度（还是直接用热冲击处理以后的值来计算的）"
36,Pore characteristic evolution and damage deterioration of granite subjected to the thermal and cooling treatments combined with the NMR method | Bulletin of Engineering Geology and the Environment (springer.com),https://link.springer.com/article/10.1007/s10064-023-03215-2,10.1007/s10064-023-03215-2,link.springer.com,Springer,auto_pdf_candidate,article_candidate,核磁，三篇都认为水冷大于液氮大于空冷,讨论了不同表征的热冲击损伤因子之间的关系，还讨论了基于孔隙的分形维数,,花岗岩在热处理和冷却处理中结合核磁共振（NMR）方法的孔隙特征演变和损伤恶化,花岗岩水、空气、液氮热冲击，核磁研究孔隙度大小，基于波速、孔隙率建立热冲击损伤因子的表征，找到与高温、冷却介质的关系,基于波速的损伤因子计算公式,基于孔隙率的损伤因子计算公式,"标记: 核磁，三篇都认为水冷大于液氮大于空冷
评价: 讨论了不同表征的热冲击损伤因子之间的关系，还讨论了基于孔隙的分形维数
作者信息: 花岗岩在热处理和冷却处理中结合核磁共振（NMR）方法的孔隙特征演变和损伤恶化
特点: 花岗岩水、空气、液氮热冲击，核磁研究孔隙度大小，基于波速、孔隙率建立热冲击损伤因子的表征，找到与高温、冷却介质的关系
结论: 基于波速的损伤因子计算公式
可供参考的图和数据: 基于孔隙率的损伤因子计算公式"
42,Investigation of the microstructural characteristics of heated sandstone by micro-computed tomography technique | Environmental Earth Sciences (springer.com),https://link.springer.com/article/10.1007/s12665-022-10514-6,10.1007/s12665-022-10514-6,link.springer.com,Springer,auto_pdf_candidate,article_candidate,,,,显微计算机层析成像技术研究加热砂岩的微观结构特征,高温砂岩  CT，孔隙率、XRD变化、孔隙连通性,,,"作者信息: 显微计算机层析成像技术研究加热砂岩的微观结构特征
特点: 高温砂岩  CT，孔隙率、XRD变化、孔隙连通性"
46,Effect of Different Cooling Treatments on the Tensile Properties and Fracture Modes of Granite Heated at Different Temperatures | Natural Resources Research (springer.com),https://link.springer.com/article/10.1007/s11053-022-10027-w,10.1007/s11053-022-10027-w,link.springer.com,Springer,auto_pdf_candidate,article_candidate,,液氮的莱顿弗罗斯特效应,,不同冷却处理对不同温度加热花岗岩拉伸性能及断裂模式的影响,花岗岩水、液氮热冲击后的巴西劈裂试验，测试了断面粗糙度，研究声发射、抗拉强度,157℃是转折点，小于这一温度时，液氮损伤严重，大于这一温度，水冷损伤严重。大于这一温度时，莱顿弗罗斯特效应影响严重，需要对液氮流动状态或者材料表面状态进行改造以提高液氮的损伤效果,,"评价: 液氮的莱顿弗罗斯特效应
作者信息: 不同冷却处理对不同温度加热花岗岩拉伸性能及断裂模式的影响
特点: 花岗岩水、液氮热冲击后的巴西劈裂试验，测试了断面粗糙度，研究声发射、抗拉强度
结论: 157℃是转折点，小于这一温度时，液氮损伤严重，大于这一温度，水冷损伤严重。大于这一温度时，莱顿弗罗斯特效应影响严重，需要对液氮流动状态或者材料表面状态进行改造以提高液氮的损伤效果"
