itemID,key,type,title,DOI,url,date,publicationTitle
12,YEFISJRD,journalArticle,包含变质岩分类三要素的主要变质岩分类表,,https://kns.cnki.net/kcms2/article/abstract?v=9w9hjx65dQTcTaELcwK6tWdQS3yVBgHfKocrZEEzRg_e6tyW-c863yBEYWQ8iuljjcG7z5MOXWuCessQaiT6UgEX45NSsb1Gmuh0SnsfIgrcQQUupE8yZxqYN1x7eFHNtONIvT3UVOm5KCjh0lLHBha0MozjCJyR&uniplatform=NZKPT&language=CHS,2009-00-00 2009,岩石学报
13,UAMAJZU7,journalArticle,"Characteristics, controlling factors and petroleum geologic significance of fractures in the Archean crystalline basement rocks: A case study of the South Jinzhou oilfield in Liaodong Bay depression, North China",10.1016/j.petrol.2021.109504,https://www.sciencedirect.com/science/article/pii/S0920410521011451,2022-01-01 2022-01-01,Journal of Petroleum Science and Engineering
15,6DEBLUZ2,journalArticle,Reservoir evaluation and fracture chracterization of the metamorphic buried hill reservoir in Bohai Bay Basin,10.1016/S1876-3804(12)60015-9,https://www.sciencedirect.com/science/article/pii/S1876380412600159,2012-02-01 2012-02-01,Petroleum Exploration and Development
18,A7DRLDKE,journalArticle,"Reservoir properties and controlling factors of contact metamorphic zones of the diabase in the northern slope of the Gaoyou Sag, Subei Basin, eastern China",10.1016/j.jngse.2016.08.070,https://www.sciencedirect.com/science/article/pii/S187551001630631X,2016-09-01 2016-09-01,Journal of Natural Gas Science and Engineering
24,IG32D8YQ,webpage,山西省岩石地层-出版社,,https://cugp.cug.edu.cn/info/1015/2312.htm,,
25,S8CZLMYB,journalArticle,"The dynamic response of sites with earth fissures as revealed by microtremor analysis——A case study in the Linfen Basin, China",10.1016/j.soildyn.2020.106076,https://www.sciencedirect.com/science/article/pii/S0267726119307833,2020-05-01 2020-05-01,Soil Dynamics and Earthquake Engineering
35,UBE5D9R7,webpage,Description of Natural Fracture Systems for Quantitative Use in Petroleum Geology | AAPG Bulletin | GeoScienceWorld,,https://pubs.geoscienceworld.org/aapgbull/article/74/2/151/38536/Description-of-Natural-Fracture-Systems-for,,
36,FBVEGXZI,journalArticle,Relationships between fractures,10.1016/j.jsg.2017.11.010,https://www.sciencedirect.com/science/article/pii/S0191814117302675,2018-01-01 2018-01-01,Journal of Structural Geology
47,8R8P3JXG,journalArticle,"Characteristics and genetic mechanism of large granitic buried-hill reservoir, a case study from PengLai oil field of Bohai Bay Basin, north China",10.1016/j.petrol.2020.106988,https://www.sciencedirect.com/science/article/pii/S092041052030084X,2020-06-01 2020-06-01,Journal of Petroleum Science and Engineering
57,XFUKX372,journalArticle,Geochemistry of petroleum systems in the Niuzhuang South Slope of Bohai Bay Basin: Part 4. Evidence for new exploration horizons in a maturely explored petroleum province,10.1016/j.orggeochem.2005.03.004,https://www.sciencedirect.com/science/article/pii/S0146638005000707,2005-08-01 2005-08-01,Organic Geochemistry
58,VV3Q2B67,journalArticle,"Origin of organic matter from tectonic zones in the Western Tatra Mountains Crystalline Basement, Poland: An example of bitumen—source rock correlation",10.1016/j.marpetgeo.2005.08.001,https://www.sciencedirect.com/science/article/pii/S0264817205001133,2006-02-01 2006-02-01,Marine and Petroleum Geology
64,9FGKZG22,journalArticle,渤海海域大型太古界潜山储层形成条件及地质意义,10.3799/dqkx.2021.249,http://www.earth-science.net/cn/article/doi/10.3799/dqkx.2021.249,2022-05-25 2022-05-25,地球科学
71,XRIFQN5D,journalArticle,Three-dimensional miarolitic cavity distribution in the Kakkonda granite from borehole WD-1a using X-ray computerized tomography,10.1016/S0013-7952(99)00129-5,https://www.sciencedirect.com/science/article/pii/S0013795299001295,2000-04-01 2000-04-01,Engineering Geology
72,IYSBV6Z9,journalArticle,"Natural fractures in a metamorphic buried hill reservoir, Bozhong 19–6 area, Bohai Bay Basin, China",10.1016/j.marpetgeo.2023.106402,https://www.sciencedirect.com/science/article/pii/S0264817223003082,2023-09-01 2023-09-01,Marine and Petroleum Geology
79,3KWD8BSF,journalArticle,Tracer-test-based dimensionality reduction model for characterizing fracture network and predicting flow and transport in fracture aquifer,10.1016/j.jhydrol.2024.130773,https://www.sciencedirect.com/science/article/pii/S0022169424001677,2024-02-01 2024-02-01,Journal of Hydrology
80,9687MFNB,journalArticle,Field Comparison of DNA-Labeled Nanoparticle and Solute Tracer Transport in a Fractured Crystalline Rock,10.1029/2019WR025021,https://agupubs.pericles-prod.literatumonline.com/doi/full/10.1029/2019WR025021,2019-08-00 2019-08,Water Resources Research
82,TXHKQF24,webpage,多孔介质多场耦合作用及其工程响应,,https://book.sciencereading.cn/shop/book/Booksimple/show.do?id=B534CC332195F43289CB0B02C38F0BA14000,,
