sheet,row,title,url,domain,doi,doi_source,sciencedirect_pii,needs_external_lookup
Sheet1,1,An experimental investigation on thermal damage and failure mechanical behavior of granite after exposure to different high temperature treatments - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650516301110?via%3Dihub,www.sciencedirect.com,,,S0375650516301110,yes
Sheet1,2,Experimental investigation on triaxial mechanical and permeability behavior of sandstone after exposure to different high temperature treatments - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650517300068?via%3Dihub,www.sciencedirect.com,,,S0375650517300068,yes
Sheet1,4,Peridynamic simulation on fracture mechanical behavior of granite containing a single fissure after thermal cycling treatment - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0266352X19304781?via%3Dihub,www.sciencedirect.com,,,S0266352X19304781,yes
Sheet1,5,Peridynamic simulation of fracture mechanical behaviour of granite specimen under real-time temperature and post-temperature treatments - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160920309394?via%3Dihub,www.sciencedirect.com,,,S1365160920309394,yes
Sheet1,6,Numerical simulation of permeability evolution in granite after thermal treatment - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0266352X20302688?via%3Dihub,www.sciencedirect.com,,,S0266352X20302688,yes
Sheet1,12,Mechanical test of granite with multiple water-thermal cycles-All Databases (clarivate.cn),https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000611981200001,webofscience.clarivate.cn,,,,yes
Sheet1,17,Thermal properties of sandstone after treatment at high temperature - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160916300338?via%3Dihub,www.sciencedirect.com,,,S1365160916300338,yes
Sheet1,18,The effect of rapid cooling on the thermal diffusivity of granite - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0926985118307869,www.sciencedirect.com,,,S0926985118307869,yes
Sheet1,19,Macroscopic and microscopic experimental research on granite properties after high-temperature and water-cooling cycles - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650521000390,www.sciencedirect.com,,,S0375650521000390,yes
Sheet1,21,"Influence of different thermal cycling treatments on the physical, mechanical and transport properties of granite - ScienceDirect",https://www.sciencedirect.com/science/article/pii/S0375650518300907?via%3Dihub,www.sciencedirect.com,,,S0375650518300907,yes
Sheet1,24,共和花岗岩在实时高温下的力学损伤和蠕变特性试验研究 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650524001871?via%3Dihub,www.sciencedirect.com,,,S0375650524001871,yes
Sheet1,25,高温高压超临界水条件下花岗岩损伤的实验研究 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0920410519304851,www.sciencedirect.com,,,S0920410519304851,yes
Sheet1,26,单轴压缩作用下花岗岩的温度依赖性声发射特性及统计本构模型 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524003664,www.sciencedirect.com,,,S1674775524003664,yes
Sheet1,27,高温花岗岩和热处理花岗岩的机械性能比较 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S100363261664311X?via%3Dihub,www.sciencedirect.com,,,S100363261664311X,yes
Sheet1,30,Influence of Real-Time Heating on Mechanical Behaviours of Rocks (hindawi.com),https://www.hindawi.com/journals/ace/2020/8879922/,www.hindawi.com,,,,yes
Sheet1,33,The effect of high temperature on tensile strength of sandstone - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1359431116319524,www.sciencedirect.com,,,S1359431116319524,yes
Sheet1,35,Applied Sciences | Free Full-Text | Physical and Mechanical Properties and Damage Mechanism of Sandstone at High Temperatures (mdpi.com),https://www.mdpi.com/2076-3417/14/1/444,www.mdpi.com,,,,yes
Sheet1,36,Investigation of high-temperature effects on the strengthening and degradation of mechanical property in sandstone - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0306261923018962,www.sciencedirect.com,,,S0306261923018962,yes
Sheet1,37,Changes in mechanical properties and fracture behaviors of heated marble subjected to liquid nitrogen cooling - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0013794422000236?via%3Dihub,www.sciencedirect.com,,,S0013794422000236,yes
Sheet1,40,Cryogenic quenching of rock using liquid nitrogen as a coolant: Investigation of surface effects - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0017931017325954,www.sciencedirect.com,,,S0017931017325954,yes
Sheet1,41,Regulated transient pool boiling of water during quenching on nanostructured surfaces with modified wettability from superhydrophilic to superhydrophobic - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0017931014003305,www.sciencedirect.com,,,S0017931014003305,yes
Sheet1,42,Waterless fracturing technologies for unconventional reservoirs-opportunities for liquid nitrogen - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1875510016305996,www.sciencedirect.com,,,S1875510016305996,yes
Sheet1,43,液氮超低温诱导岩石类材料裂缝形成机制研究 (whrsm.ac.cn),http://rockmech.whrsm.ac.cn/CN/abstract/abstract31955.shtml,rockmech.whrsm.ac.cn,,,,yes
Sheet1,45,https://www.sciencedirect.com/science/article/pii/S0960148121011435?via%3Dihub#bib46,https://www.sciencedirect.com/science/article/pii/S0960148121011435?via%3Dihub,www.sciencedirect.com,,,S0960148121011435,yes
Sheet1,46,热损伤环面花岗岩失效模式的尺寸效应 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160923000059,www.sciencedirect.com,,,S1365160923000059,yes
Sheet1,49,基于CT-GBM数值模拟的高温花岗岩微开裂行为及损伤机理 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0266352X23001428,www.sciencedirect.com,,,S0266352X23001428,yes
Sheet1,50,Multiscale damage and thermal-stress evolution characteristics of rocks with thermal storage potential under thermal shocks - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S2352152X24002159,www.sciencedirect.com,,,S2352152X24002159,yes
Sheet1,52,An investigation on the deterioration of physical and mechanical properties of granite after cyclic thermal shock - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650521002091,www.sciencedirect.com,,,S0375650521002091,yes
Sheet1,53,Effect of high temperature on mode-I fracture toughness of granite subjected to liquid nitrogen cooling - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0013794421002745?via%3Dihub,www.sciencedirect.com,,,S0013794421002745,yes
Sheet1,55,Effect of liquid nitrogen cooling on mechanical characteristics and fracture morphology of layer coal under Brazilian splitting test - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S136516092100407X?via%3Dihub,www.sciencedirect.com,,,S136516092100407X,yes
Sheet1,58,Quantitative visualization and characteristics of gas flow in 3D pore-fracture system of tight rock based on Lattice Boltzmann simulation - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1875510021000743?via%3Dihub,www.sciencedirect.com,,,S1875510021000743,yes
Sheet1,59,https://www.sciencedirect.com/science/article/pii/S0375650522000530#bib0109,https://www.sciencedirect.com/science/article/pii/S0375650522000530,www.sciencedirect.com,,,S0375650522000530,yes
Sheet1,60,https://www.sciencedirect.com/science/article/pii/S2214509523007817,https://www.sciencedirect.com/science/article/pii/S2214509523007817,www.sciencedirect.com,,,S2214509523007817,yes
Sheet1,62,"Investigation on pore structure characteristics of ultra-tight sandstone reservoirs in the upper Triassic Xujiahe Formation of the northern Sichuan Basin, China - ScienceDirect",https://www.sciencedirect.com/science/article/pii/S0264817222000307,www.sciencedirect.com,,,S0264817222000307,yes
Sheet1,63,裂缝表面粗糙度在裂隙岩石中宏观流体流动和传热中的作用 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160916300879,www.sciencedirect.com,,,S1365160916300879,yes
Sheet1,64,考虑粗壁裂缝的增强型地热系统采热性能的数值评估 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0960148122002099,www.sciencedirect.com,,,S0960148122002099,yes
Sheet1,65,使用不同冷却介质进行热处理后花岗岩的物理力学性能 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524005146,www.sciencedirect.com,,,S1674775524005146,yes
Sheet1,68,"Metamorphic geothermal reservoir characterisation—A case study in the Jinlun geothermal area, Taitung, Taiwan - ScienceDirect",https://www.sciencedirect.com/science/article/pii/S0375650517302390,www.sciencedirect.com,,,S0375650517302390,yes
