sheet,row,title,url,domain,doi,doi_source,sciencedirect_pii,needs_external_lookup,cleaned_title,doi_enriched,doi_enriched_source,doi_confidence,lookup_status
Sheet1,1,An experimental investigation on thermal damage and failure mechanical behavior of granite after exposure to different high temperature treatments - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650516301110?via%3Dihub,www.sciencedirect.com,,,S0375650516301110,yes,An experimental investigation on thermal damage and failure mechanical behavior of granite after exposure to different high temperature treatments,10.1016/j.geothermics.2016.09.008,crossref_pii,high,found
Sheet1,2,Experimental investigation on triaxial mechanical and permeability behavior of sandstone after exposure to different high temperature treatments - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650517300068?via%3Dihub,www.sciencedirect.com,,,S0375650517300068,yes,Experimental investigation on triaxial mechanical and permeability behavior of sandstone after exposure to different high temperature treatments,10.1016/j.geothermics.2017.04.009,crossref_pii,high,found
Sheet1,3,An Experimental Study of Effect of High Temperature on the Permeability Evolution and Failure Response of Granite Under Triaxial Compression | Rock Mechanics and Rock Engineering (springer.com),https://link.springer.com/article/10.1007/s00603-019-01982-7,link.springer.com,10.1007/s00603-019-01982-7,url_or_title,,no,An Experimental Study of Effect of High Temperature on the Permeability Evolution and Failure Response of Granite Under Triaxial Compression,10.1007/s00603-019-01982-7,url_or_title,exact,existing
Sheet1,4,Peridynamic simulation on fracture mechanical behavior of granite containing a single fissure after thermal cycling treatment - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0266352X19304781?via%3Dihub,www.sciencedirect.com,,,S0266352X19304781,yes,Peridynamic simulation on fracture mechanical behavior of granite containing a single fissure after thermal cycling treatment,10.1016/j.compgeo.2019.103414,crossref_pii,high,found
Sheet1,5,Peridynamic simulation of fracture mechanical behaviour of granite specimen under real-time temperature and post-temperature treatments - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160920309394?via%3Dihub,www.sciencedirect.com,,,S1365160920309394,yes,Peridynamic simulation of fracture mechanical behaviour of granite specimen under real-time temperature and post-temperature treatments,10.1016/j.ijrmms.2020.104573,crossref_pii,high,found
Sheet1,6,Numerical simulation of permeability evolution in granite after thermal treatment - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0266352X20302688?via%3Dihub,www.sciencedirect.com,,,S0266352X20302688,yes,Numerical simulation of permeability evolution in granite after thermal treatment,10.1016/j.compgeo.2020.103705,crossref_pii,high,found
Sheet1,7,Influence of stress and high-temperature treatment on the permeability evolution behavior of sandstone | Acta Mechanica Sinica (springer.com),https://link.springer.com/article/10.1007/s10409-018-0824-6,link.springer.com,10.1007/s10409-018-0824-6,url_or_title,,no,Influence of stress and high-temperature treatment on the permeability evolution behavior of sandstone,10.1007/s10409-018-0824-6,url_or_title,exact,existing
Sheet1,8,Structural properties and failure characteristics of granite after thermal treatment and water cooling | Geomechanics and Geophysics for Geo-Energy and Geo-Resources (springer.com),https://link.springer.com/article/10.1007/s40948-023-00716-y,link.springer.com,10.1007/s40948-023-00716-y,url_or_title,,no,Structural properties and failure characteristics of granite after thermal treatment and water cooling,10.1007/s40948-023-00716-y,url_or_title,exact,existing
Sheet1,9,Tensile Properties and Damage Evolution Laws of Granite After High- and Low-Temperature Cycles | Natural Resources Research (springer.com),https://link.springer.com/article/10.1007/s11053-022-10025-y,link.springer.com,10.1007/s11053-022-10025-y,url_or_title,,no,Tensile Properties and Damage Evolution Laws of Granite After High- and Low-Temperature Cycles,10.1007/s11053-022-10025-y,url_or_title,exact,existing
Sheet1,10,Experimental investigation on the influence on mechanical properties and acoustic emission characteristics of granite after heating and water-cooling cycles | Geomechanics and Geophysics for Geo-Energy and Geo-Resources (springer.com),https://link.springer.com/article/10.1007/s40948-023-00627-y,link.springer.com,10.1007/s40948-023-00627-y,url_or_title,,no,Experimental investigation on the influence on mechanical properties and acoustic emission characteristics of granite after heating and water-cooling cycles,10.1007/s40948-023-00627-y,url_or_title,exact,existing
