row,title,url,doi,domain,publisher_hint,access_group,item_kind_hint,tags,evaluation,inspiration,author_info,features,conclusions,useful_figures_data,notes
5,Study on Damage Characteristics of Hot Dry Rock by Liquid Nitrogen Cyclic Cold Shocks Based on Ultrasonic Testing | Energy & Fuels (acs.org),https://pubs.acs.org/doi/full/10.1021/acs.energyfuels.3c03229,10.1021/acs.energyfuels.3c03229,pubs.acs.org,ACS,manual_or_institution_required,article_candidate,,,,基于超声检测的液氮循环冷冲击干热岩石损伤特性研究,花岗岩液氮热冲击，核磁，超声波波速测试，孔隙率变化,高温、热冲击循环次数和孔隙率的关系，用波速表征损伤,,"作者信息: 基于超声检测的液氮循环冷冲击干热岩石损伤特性研究
特点: 花岗岩液氮热冲击，核磁，超声波波速测试，孔隙率变化
结论: 高温、热冲击循环次数和孔隙率的关系，用波速表征损伤"
13,Effect of surface heat transfer coefficient gradient on thermal shock failure of ceramic materials under rapid cooling condition - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0272884218303961,,www.sciencedirect.com,ScienceDirect,manual_or_institution_required,article_candidate,,沸水和水对流换热系数不同的原因,,快速冷却条件下表面传热系数梯度对陶瓷材料热冲击失效的影响,讨论了水和沸水的对流换热系数，对陶瓷复合材料的淬火后强度的影响,,,"评价: 沸水和水对流换热系数不同的原因
作者信息: 快速冷却条件下表面传热系数梯度对陶瓷材料热冲击失效的影响
特点: 讨论了水和沸水的对流换热系数，对陶瓷复合材料的淬火后强度的影响"
14,Thermal shock behavior of SiC-whisker-reinforced diboride ultrahigh-temperature ceramics - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1359646208001589,,www.sciencedirect.com,ScienceDirect,manual_or_institution_required,article_candidate,,沸水和水对流换热系数不同的原因,,SiC晶须增强二硼化物超高温陶瓷的热冲击行为,解释了沸水和水在热冲击时的区别，（h梯度的差距可达三个数量级）可以作为重要参考,常温水和沸水淬火的区别,,"评价: 沸水和水对流换热系数不同的原因
作者信息: SiC晶须增强二硼化物超高温陶瓷的热冲击行为
特点: 解释了沸水和水在热冲击时的区别，（h梯度的差距可达三个数量级）可以作为重要参考
结论: 常温水和沸水淬火的区别"
15,Experimental studies on the effect of cyclic thermal shock and cooling methods on the mechanical properties and fracture behavior of prefabricated fissured sandstone - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0167844222003202,,www.sciencedirect.com,ScienceDirect,manual_or_institution_required,article_candidate,追踪/不同水温20 50 80热冲击,工作量大，单独研究了冷却介质和水温，但是没有一起比较谁的影响更严重，也没有从工程改变的难易程度和经济性上讨论,,循环热冲击和冷却方式对预制裂隙砂岩力学性能和断裂行为影响的试验研究,预制了小裂缝，400℃砂岩在空气、20 50 80水中热冲击，UCS，P波波速，循环热冲击，拟合了水温和循环次数，数值模拟研究了对流换热系数和温度的影响，计算了模拟的最大主应力,p波符合温差越大热冲击越严重的规律。第一次热冲击效果最好，超过四次循环影响不大。以杨氏模量的衰减作为损伤变量，获得水温、循环次数的拟合公式,砂岩模拟参数,"标记: 追踪/不同水温20 50 80热冲击
评价: 工作量大，单独研究了冷却介质和水温，但是没有一起比较谁的影响更严重，也没有从工程改变的难易程度和经济性上讨论
作者信息: 循环热冲击和冷却方式对预制裂隙砂岩力学性能和断裂行为影响的试验研究
特点: 预制了小裂缝，400℃砂岩在空气、20 50 80水中热冲击，UCS，P波波速，循环热冲击，拟合了水温和循环次数，数值模拟研究了对流换热系数和温度的影响，计算了模拟的最大主应力
结论: p波符合温差越大热冲击越严重的规律。第一次热冲击效果最好，超过四次循环影响不大。以杨氏模量的衰减作为损伤变量，获得水温、循环次数的拟合公式
可供参考的图和数据: 砂岩模拟参数"
17,https://www.sciencedirect.com/science/article/pii/S0375650518303778?via%3Dihub,https://www.sciencedirect.com/science/article/pii/S0375650518303778?via%3Dihub,,www.sciencedirect.com,ScienceDirect,manual_or_institution_required,article_candidate,非常重要的参考,是热冲击CT方面非常全的论文。已经提到了热冲击边界处的破裂，但是并未研究分布的具体规律,,使用 X 射线 CT 成像和分析量化花岗岩中的热致微裂纹,25-1000℃高温花岗岩，球棍模型，等效半径 CT裂缝分析 说明600-800的损伤比较明显,,5℃/min,"标记: 非常重要的参考
评价: 是热冲击CT方面非常全的论文。已经提到了热冲击边界处的破裂，但是并未研究分布的具体规律
作者信息: 使用 X 射线 CT 成像和分析量化花岗岩中的热致微裂纹
特点: 25-1000℃高温花岗岩，球棍模型，等效半径 CT裂缝分析 说明600-800的损伤比较明显
可供参考的图和数据: 5℃/min"
20,Experimental comparison of mechanical properties and fractal characteristics of geothermal reservoir rocks after different cooling treatments - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S2352484722007612?via%3Dihub,,www.sciencedirect.com,ScienceDirect,manual_or_institution_required,article_candidate,,对全过程热破坏的机理讨论的还可以，可以参考。但是看起来好像和上一行这一篇论文用的数据一样，损伤程度排序也是一样的，对液氮的解释也一样。,,不同冷却处理后地热储层岩石力学性能及分形特征的试验比较,400 600 800砂岩、花岗岩  空冷、水冷、液氮热冲击后，霍普金森杆动力响应。,讨论还挺细致：首先拆分成温度场影响和应力响应，温度场影响又拆分成高温和冷却两个过程分别讨论，应力场影响从不均匀热膨胀和温度梯度造成破坏两个角度讨论。最后讨论了碎片分形与加热温度的关系,,"评价: 对全过程热破坏的机理讨论的还可以，可以参考。但是看起来好像和上一行这一篇论文用的数据一样，损伤程度排序也是一样的，对液氮的解释也一样。
作者信息: 不同冷却处理后地热储层岩石力学性能及分形特征的试验比较
特点: 400 600 800砂岩、花岗岩  空冷、水冷、液氮热冲击后，霍普金森杆动力响应。
结论: 讨论还挺细致：首先拆分成温度场影响和应力响应，温度场影响又拆分成高温和冷却两个过程分别讨论，应力场影响从不均匀热膨胀和温度梯度造成破坏两个角度讨论。最后讨论了碎片分形与加热温度的关系"
24,Experimental investigation of the effect of quenching cycles on the physico-chemical properties of granites - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650521001929,,www.sciencedirect.com,ScienceDirect,manual_or_institution_required,article_candidate,参考，有价值,文章很长，工作量很大，手段非常规。参考对热冲击后冷却水成分的化验方法,,热冲击循环对花岗岩理化性质影响的实验研究,热冲击循环对不同风化程度的花岗岩的影响，基于波速推断E，基于核磁推断孔隙率，化验了热冲击后的冷却水的化学变化，基于孔隙率通过公式推测渗透率，还做了CT关于裂缝大小数量的分析,1. 风化程度（也就是初始孔隙率）对热冲击有很大影响；2. 循环热冲击能加快损伤（200℃要循环10-15次才有损伤，400℃第一次就损伤）,引言中提到“在经过热处理的花岗岩上用水快速冷却比缓慢冷却引起的损害更大（Isaka等人，2018;Shao等人，2014）。因此，缓慢冷却样品的渗透率在400°C时非常微弱地增加，在500°C时增加2.3倍，在600°C时增加35.6倍，而快速淬火样品的渗透率在400°C时增加2.9倍，在500°C时增加15.3倍，甚至在600°C时增加79.3倍（Jin等人，2019）”,"标记: 参考，有价值
评价: 文章很长，工作量很大，手段非常规。参考对热冲击后冷却水成分的化验方法
作者信息: 热冲击循环对花岗岩理化性质影响的实验研究
特点: 热冲击循环对不同风化程度的花岗岩的影响，基于波速推断E，基于核磁推断孔隙率，化验了热冲击后的冷却水的化学变化，基于孔隙率通过公式推测渗透率，还做了CT关于裂缝大小数量的分析
结论: 1. 风化程度（也就是初始孔隙率）对热冲击有很大影响；2. 循环热冲击能加快损伤（200℃要循环10-15次才有损伤，400℃第一次就损伤）
可供参考的图和数据: 引言中提到“在经过热处理的花岗岩上用水快速冷却比缓慢冷却引起的损害更大（Isaka等人，2018;Shao等人，2014）。因此，缓慢冷却样品的渗透率在400°C时非常微弱地增加，在500°C时增加2.3倍，在600°C时增加35.6倍，而快速淬火样品的渗透率在400°C时增加2.9倍，在500°C时增加15.3倍，甚至在600°C时增加79.3倍（Jin等人，2019）”"
27,实时高温和三维应力作用下花岗岩的力学性能 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160920308893?via%3Dihub,,www.sciencedirect.com,ScienceDirect,manual_or_institution_required,article_candidate,,,,,实时高温三轴试验,,,特点: 实时高温三轴试验
28,On the tensile mechanical characteristics of fine-grained granite after heating/cooling treatments with different cooling rates - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0013795218317502,,www.sciencedirect.com,ScienceDirect,manual_or_institution_required,article_candidate,,,,不同冷却速率下细晶粒花岗岩加热/冷却处理后的拉伸力学特性,花岗岩水、空气热冲击冷却后的巴西劈裂，研究抗拉强度、表面粗糙度,,,"作者信息: 不同冷却速率下细晶粒花岗岩加热/冷却处理后的拉伸力学特性
特点: 花岗岩水、空气热冲击冷却后的巴西劈裂，研究抗拉强度、表面粗糙度"
29,空气、水和高粘度流体冷却对加热岩石的物理和机械性能的实验研究 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S2352380822000041,,www.sciencedirect.com,ScienceDirect,manual_or_institution_required,article_candidate,参考,研究了冷却介质的影响，我后期可以考虑直接用钻井液来进行热冲击，研究井壁周围破裂情况,,空气、水和高粘度流体冷却加热岩石物理力学性质的试验研究,花岗岩、石灰岩，在水、空气、高粘度流体热冲击后的强度,有详细的空冷水冷100-800的力学数据,,"标记: 参考
评价: 研究了冷却介质的影响，我后期可以考虑直接用钻井液来进行热冲击，研究井壁周围破裂情况
作者信息: 空气、水和高粘度流体冷却加热岩石物理力学性质的试验研究
特点: 花岗岩、石灰岩，在水、空气、高粘度流体热冲击后的强度
结论: 有详细的空冷水冷100-800的力学数据"
