sheet,row,title,url,domain,doi,doi_source,sciencedirect_pii,needs_external_lookup
Sheet1,1,An experimental investigation on thermal damage and failure mechanical behavior of granite after exposure to different high temperature treatments - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650516301110?via%3Dihub,www.sciencedirect.com,,,S0375650516301110,yes
Sheet1,2,Experimental investigation on triaxial mechanical and permeability behavior of sandstone after exposure to different high temperature treatments - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650517300068?via%3Dihub,www.sciencedirect.com,,,S0375650517300068,yes
Sheet1,3,An Experimental Study of Effect of High Temperature on the Permeability Evolution and Failure Response of Granite Under Triaxial Compression | Rock Mechanics and Rock Engineering (springer.com),https://link.springer.com/article/10.1007/s00603-019-01982-7,link.springer.com,10.1007/s00603-019-01982-7,url_or_title,,no
Sheet1,4,Peridynamic simulation on fracture mechanical behavior of granite containing a single fissure after thermal cycling treatment - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0266352X19304781?via%3Dihub,www.sciencedirect.com,,,S0266352X19304781,yes
Sheet1,5,Peridynamic simulation of fracture mechanical behaviour of granite specimen under real-time temperature and post-temperature treatments - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160920309394?via%3Dihub,www.sciencedirect.com,,,S1365160920309394,yes
Sheet1,6,Numerical simulation of permeability evolution in granite after thermal treatment - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0266352X20302688?via%3Dihub,www.sciencedirect.com,,,S0266352X20302688,yes
Sheet1,7,Influence of stress and high-temperature treatment on the permeability evolution behavior of sandstone | Acta Mechanica Sinica (springer.com),https://link.springer.com/article/10.1007/s10409-018-0824-6,link.springer.com,10.1007/s10409-018-0824-6,url_or_title,,no
Sheet1,8,Structural properties and failure characteristics of granite after thermal treatment and water cooling | Geomechanics and Geophysics for Geo-Energy and Geo-Resources (springer.com),https://link.springer.com/article/10.1007/s40948-023-00716-y,link.springer.com,10.1007/s40948-023-00716-y,url_or_title,,no
Sheet1,9,Tensile Properties and Damage Evolution Laws of Granite After High- and Low-Temperature Cycles | Natural Resources Research (springer.com),https://link.springer.com/article/10.1007/s11053-022-10025-y,link.springer.com,10.1007/s11053-022-10025-y,url_or_title,,no
Sheet1,10,Experimental investigation on the influence on mechanical properties and acoustic emission characteristics of granite after heating and water-cooling cycles | Geomechanics and Geophysics for Geo-Energy and Geo-Resources (springer.com),https://link.springer.com/article/10.1007/s40948-023-00627-y,link.springer.com,10.1007/s40948-023-00627-y,url_or_title,,no
Sheet1,11,Experimental investigations on the tensile behaviour of granite after heating and water-cooling treatment | Bulletin of Engineering Geology and the Environment (springer.com),https://link.springer.com/article/10.1007/s10064-021-02284-5,link.springer.com,10.1007/s10064-021-02284-5,url_or_title,,no
Sheet1,12,Mechanical test of granite with multiple water-thermal cycles-All Databases (clarivate.cn),https://webofscience.clarivate.cn/wos/alldb/full-record/WOS:000611981200001,webofscience.clarivate.cn,,,,yes
Sheet1,13,Thermal properties of Central Aare granite for temperatures up to 500°C: Irreversible changes due to thermal crack formation - Kant - 2017 - Geophysical Research Letters - Wiley Online Library,https://agupubs.onlinelibrary.wiley.com/doi/10.1002/2016GL070990,agupubs.onlinelibrary.wiley.com,10.1002/2016GL070990,url_or_title,,no
Sheet1,14,https://link.springer.com/article/10.1007/s40948-022-00388-0,https://link.springer.com/article/10.1007/s40948-022-00388-0,link.springer.com,10.1007/s40948-022-00388-0,url_or_title,,no
Sheet1,15,The role of multiple heating and water cooling cycles on physical and mechanical responses of granite rocks | Geomechanics and Geophysics for Geo-Energy and Geo-Resources (springer.com),https://link.springer.com/article/10.1007/s40948-021-00267-0,link.springer.com,10.1007/s40948-021-00267-0,url_or_title,,no
Sheet1,16,变热循环后砂岩物理力学性能试验研究 |工程地质与环境通报 (springer.com),https://link.springer.com/article/10.1007/s10064-020-01779-x,link.springer.com,10.1007/s10064-020-01779-x,url_or_title,,no
Sheet1,17,Thermal properties of sandstone after treatment at high temperature - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1365160916300338?via%3Dihub,www.sciencedirect.com,,,S1365160916300338,yes
Sheet1,18,The effect of rapid cooling on the thermal diffusivity of granite - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0926985118307869,www.sciencedirect.com,,,S0926985118307869,yes
Sheet1,19,Macroscopic and microscopic experimental research on granite properties after high-temperature and water-cooling cycles - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650521000390,www.sciencedirect.com,,,S0375650521000390,yes
Sheet1,20,Influence of multiple porous structure evolution on physical–mechanical properties and damage mechanism of sandstone heated continuously/periodically with the identical heating time | Bulletin of Engineering Geology and the Environment (springer.com),https://link.springer.com/article/10.1007/s10064-022-03020-3,link.springer.com,10.1007/s10064-022-03020-3,url_or_title,,no
Sheet1,21,"Influence of different thermal cycling treatments on the physical, mechanical and transport properties of granite - ScienceDirect",https://www.sciencedirect.com/science/article/pii/S0375650518300907?via%3Dihub,www.sciencedirect.com,,,S0375650518300907,yes
Sheet1,22,高温下花岗岩的声发射和损伤特性 - 徐 - 2018 - 材料科学与工程进展 - Wiley 在线图书馆,https://onlinelibrary.wiley.com/doi/10.1155/2018/8149870,onlinelibrary.wiley.com,10.1155/2018/8149870,url_or_title,,no
Sheet1,23,花岗岩实时高温和自然冷却后力学性能及碰撞特性的比较研究 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-023-03380-6,link.springer.com,10.1007/s00603-023-03380-6,url_or_title,,no
Sheet1,24,共和花岗岩在实时高温下的力学损伤和蠕变特性试验研究 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0375650524001871?via%3Dihub,www.sciencedirect.com,,,S0375650524001871,yes
Sheet1,25,高温高压超临界水条件下花岗岩损伤的实验研究 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0920410519304851,www.sciencedirect.com,,,S0920410519304851,yes
Sheet1,26,单轴压缩作用下花岗岩的温度依赖性声发射特性及统计本构模型 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1674775524003664,www.sciencedirect.com,,,S1674775524003664,yes
Sheet1,27,高温花岗岩和热处理花岗岩的机械性能比较 - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S100363261664311X?via%3Dihub,www.sciencedirect.com,,,S100363261664311X,yes
Sheet1,28,高温处理后花岗岩的物理机械性能 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-019-01919-0,link.springer.com,10.1007/s00603-019-01919-0,url_or_title,,no
Sheet1,29,高温对花岗岩热性能的影响 |岩石力学和岩石工程,https://link.springer.com/article/10.1007/s00603-019-1733-0,link.springer.com,10.1007/s00603-019-1733-0,url_or_title,,no
Sheet1,30,Influence of Real-Time Heating on Mechanical Behaviours of Rocks (hindawi.com),https://www.hindawi.com/journals/ace/2020/8879922/,www.hindawi.com,,,,yes
Sheet1,31,Experimental study on permeability and porosity evolution of host rock with varying damage degrees in excavation damaged area under real-time ultra-high temperature and triaxial stress/seepage pressure condition | Bulletin of Engineering Geology and the Environment (springer.com),https://link.springer.com/article/10.1007/s10064-021-02408-x,link.springer.com,10.1007/s10064-021-02408-x,url_or_title,,no
Sheet1,32,Damage deterioration mechanism and damage constitutive modelling of red sandstone under cyclic thermal-cooling treatments | Archives of Civil and Mechanical Engineering (springer.com),https://link.springer.com/article/10.1007/s43452-022-00505-6,link.springer.com,10.1007/s43452-022-00505-6,url_or_title,,no
Sheet1,33,The effect of high temperature on tensile strength of sandstone - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S1359431116319524,www.sciencedirect.com,,,S1359431116319524,yes
Sheet1,34,Heat-capacity measurements of sandstone at high temperatures | Geomechanics and Geophysics for Geo-Energy and Geo-Resources (springer.com),https://link.springer.com/article/10.1007/s40948-018-0099-1?utm_source=xmol&utm_medium=affiliate&utm_content=meta&utm_campaign=DDCN_1_GL01_metadata,link.springer.com,10.1007/s40948-018-0099-1,url_or_title,,no
Sheet1,35,Applied Sciences | Free Full-Text | Physical and Mechanical Properties and Damage Mechanism of Sandstone at High Temperatures (mdpi.com),https://www.mdpi.com/2076-3417/14/1/444,www.mdpi.com,,,,yes
Sheet1,36,Investigation of high-temperature effects on the strengthening and degradation of mechanical property in sandstone - ScienceDirect,https://www.sciencedirect.com/science/article/pii/S0306261923018962,www.sciencedirect.com,,,S0306261923018962,yes
